Symbol,Weight,Method,Expected Return,Volatility,Sharpe Ratio
VEA,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
VWO,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
VTI,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
BND,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
SHY,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
SPY,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
TIPS,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
IWM,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
QQQ,0.8587243253823943,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
VNQ,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
DBC,0.14127567461760573,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
EFA,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
GLD,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
TLT,0.0,Genetic Algorithm,0.6116990792747176,0.28714770028871284,2.060608804039849
